step,phase,task,accuracy,mse,hidden_cells
3290,3,XNOR,0.75,1.000588938043355,6
3300,3,XNOR,0.75,1.0005826644483056,6
3310,3,XNOR,0.75,1.0005765184463844,6
3320,3,XNOR,0.75,1.0005704961228008,6
3330,3,XNOR,0.75,1.000564593727728,6
3340,3,XNOR,0.75,1.0005588076671512,6
3350,3,XNOR,0.75,1.00055313449437,6
3360,3,XNOR,0.75,1.000547570902089,6
3370,3,XNOR,0.75,1.0005421137150567,6
3380,3,XNOR,0.75,1.0005367598831902,6
3390,3,XNOR,0.75,1.000531506475163,6
3400,3,XNOR,0.75,1.0005263506724018,7
3410,3,XNOR,0.75,1.0008533933374972,7
3420,3,XNOR,0.75,1.000836595291663,7
3430,3,XNOR,0.75,1.0008205178939324,7
3440,3,XNOR,0.75,1.0008051125571278,7
3450,3,XNOR,0.75,1.0007903350492424,7
3460,3,XNOR,0.75,1.0007761450169896,7
3470,3,XNOR,0.75,1.0007625055701443,7
3480,3,XNOR,0.75,1.0007493829178817,7
3490,3,XNOR,0.75,1.0007367460497112,7
3500,3,XNOR,0.75,1.0007245664548003,7
3510,3,XNOR,0.75,1.0007128178744273,7
3520,3,XNOR,0.75,1.0007014760831254,7
3530,3,XNOR,0.75,1.0006905186947335,7
3540,3,XNOR,0.75,1.0006799249901228,7
3550,3,XNOR,0.75,1.0006696757638502,7
3560,3,XNOR,0.75,1.0006597531873656,7
3570,3,XNOR,0.75,1.0006501406867392,7
3580,3,XNOR,0.75,1.0006408228331516,8
3590,3,XNOR,0.75,1.0005814021342445,8
3600,3,XNOR,0.75,1.0005738003829454,8
3610,3,XNOR,0.75,1.000566406458356,8
3620,3,XNOR,0.75,1.0005592109943113,8
3630,3,XNOR,0.75,1.000552205232731,8
3640,3,XNOR,0.75,1.000545380971646,8
3650,3,XNOR,0.75,1.000538730518736,8
3660,3,XNOR,0.75,1.0005322466496773,8
3670,3,XNOR,0.75,1.00052592257071,8
3680,3,XNOR,0.75,1.000519751884921,8
3690,3,XNOR,0.75,1.0005137285617944,8
3700,3,XNOR,0.75,1.0005078469096558,8
3710,3,XNOR,0.75,1.0005021015506868,8
3720,3,XNOR,0.75,1.0004964873982198,8
3730,3,XNOR,0.75,1.0004909996360645,8
3740,3,XNOR,0.75,1.0004856336996535,8
3750,3,XNOR,0.75,1.0004803852588144,8
3760,3,XNOR,0.75,1.0004752502019985,8
3770,3,XNOR,0.75,1.0004702246218267,8
3780,3,XNOR,0.75,1.0004653048018133,8
3790,3,XNOR,0.75,1.0004604872041603,8
3800,3,XNOR,0.75,1.0004557684585142,8
3810,3,XNOR,0.75,1.0004511453515998,8
3820,3,XNOR,0.75,1.0004466148176467,8
3830,3,XNOR,0.75,1.0004421739295346,8
3840,3,XNOR,0.75,1.000437819890601,8
3850,3,XNOR,0.75,1.0004335500270405,8
3860,3,XNOR,0.75,1.0004293617808568,8
3870,3,XNOR,0.75,1.0004252527033128,8
3880,3,XNOR,0.75,1.0004212204488374,8
3890,3,XNOR,0.75,1.0004172627693528,8
3900,4,OR,0.5,1.9631521075188465,8
3910,4,OR,0.5,1.8438307047000935,8
3920,4,OR,0.75,0.9846548238601082,8
3930,4,OR,1.0,0.07489731561791561,8
3940,4,OR,1.0,0.014621705710758652,8
3950,4,OR,1.0,0.008242047497311316,8
3960,4,OR,1.0,0.0057561113524659405,8
3970,4,OR,1.0,0.0044303199502046045,8
3980,4,OR,1.0,0.003605276378074298,8
3990,4,OR,1.0,0.0030418987508425326,8
4000,4,OR,1.0,0.0026324940918750466,8
4010,4,OR,1.0,0.002321380544677726,8
4020,4,OR,1.0,0.00207686045034983,8
4030,4,OR,1.0,0.0018795567659713635,8
4040,4,OR,1.0,0.0017169541346853817,8
4050,4,OR,1.0,0.0015806069172616636,8
4060,4,OR,1.0,0.0014646082944295374,8
4070,4,OR,1.0,0.0013647023083680286,8
4080,4,OR,1.0,0.0012777443625892864,8
4090,4,OR,1.0,0.0012013604011713106,8
4100,4,OR,1.0,0.0011337243201849179,8
4110,4,OR,1.0,0.0010734083620824982,8
4120,4,OR,1.0,0.0010192800130096205,8
4130,4,OR,1.0,0.0009704293642598063,8
4140,4,OR,1.0,0.0009261169255830118,7
4150,4,OR,1.0,0.0008850170548412578,7
4160,4,OR,1.0,0.0008482560044744355,7
4170,4,OR,1.0,0.0008144746917623384,7
4180,4,OR,1.0,0.0007833230833724445,7
4190,4,OR,1.0,0.000754504042636906,7
4200,4,OR,1.0,0.000727763685915259,7
4210,4,OR,1.0,0.0007028837767745442,7
4220,4,OR,1.0,0.0006796756722738486,7
4230,4,OR,1.0,0.0006579754636836488,7
4240,4,OR,1.0,0.0006376400452276347,7
4250,4,OR,1.0,0.0006185439102924345,7
4260,4,OR,1.0,0.0006005765226320135,7
4270,4,OR,1.0,0.0005836401455769282,7
4280,4,OR,1.0,0.000567648038710253,7
4290,4,OR,1.0,0.0005525229513765854,7
4300,4,OR,1.0,0.0005381958575014637,7
4310,4,OR,1.0,0.0005246048877655767,7
4320,4,OR,1.0,0.0005116944241018111,6
4330,4,OR,1.0,0.0005587284228490635,6
4340,4,OR,1.0,0.0005446652697718736,6
4350,4,OR,1.0,0.0005313050058061854,6
4360,4,OR,1.0,0.0005185959104965933,6
4370,4,OR,1.0,0.0005064912303930818,6
4380,4,OR,1.0,0.0004949485958243856,6
4390,4,OR,1.0,0.0004839295180467267,6
4400,4,OR,1.0,0.00047339895412667896,6
4410,4,OR,1.0,0.00046332492914020047,6
4420,4,OR,1.0,0.0004536782070626634,6
4430,4,OR,1.0,0.000444432003177578,6
4440,4,OR,1.0,0.0004355617320148947,6
4450,4,OR,1.0,0.00042704478579759855,6
4460,4,OR,1.0,0.0004188603391707549,6
4470,4,OR,1.0,0.00041098917664343047,6
4480,4,OR,1.0,0.0004034135397177896,6
4490,4,OR,1.0,0.0003961169911318441,6
