generation,fitness,accuracy,mse,hidden_cells,edges
188.0,0.49339577631420584,1.0,4.223685794147678e-06,3.0,16.0
189.0,0.4933962092551343,1.0,3.7907448657551015e-06,3.0,16.0
190.0,0.493520877767323,1.0,0.00017912223267699205,3.0,15.0
191.0,0.4936991090533762,1.0,8.909466237918916e-07,3.0,15.0
192.0,0.4936991640088987,1.0,8.35991101335647e-07,3.0,15.0
193.0,0.4936991640088987,1.0,8.35991101335647e-07,3.0,15.0
194.0,0.49369946245717566,1.0,5.375428243620109e-07,3.0,15.0
195.0,0.49369988687803734,1.0,1.1312196263932376e-07,3.0,15.0
196.0,0.493699957951127,1.0,4.2048872997596085e-08,3.0,15.0
197.0,0.4936999820224558,1.0,1.7977544251557176e-08,3.0,15.0
198.0,0.49369999896942895,1.0,1.0305710723966052e-09,3.0,15.0
199.0,0.49391210829121207,1.0,8.789170878789779e-05,3.0,14.0
200.0,0.49395191216038953,1.0,4.808783961043985e-05,3.0,14.0
201.0,0.49395191271514316,1.0,4.808728485682329e-05,3.0,14.0
202.0,0.493996409525144,1.0,3.5904748560098828e-06,3.0,14.0
203.0,0.4939967669664782,1.0,3.233033521767403e-06,3.0,14.0
204.0,0.49399676696689837,1.0,3.233033101644945e-06,3.0,14.0
205.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
206.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
207.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
208.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
209.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
210.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
211.0,0.4939994758280637,1.0,5.24171936282278e-07,3.0,14.0
212.0,0.49399960082447064,1.0,3.9917552933662634e-07,3.0,14.0
213.0,0.49399960082447064,1.0,3.9917552933662634e-07,3.0,14.0
214.0,0.4939996654429748,1.0,3.3455702519038527e-07,3.0,14.0
215.0,0.4939996654429748,1.0,3.3455702519038527e-07,3.0,14.0
216.0,0.4939996654429748,1.0,3.3455702519038527e-07,3.0,14.0
217.0,0.4939997671695293,1.0,2.3283047066625596e-07,3.0,14.0
218.0,0.4939997671695293,1.0,2.3283047066625596e-07,3.0,14.0
219.0,0.4939997671695293,1.0,2.3283047066625596e-07,3.0,14.0
220.0,0.49399983866841907,1.0,1.613315809179809e-07,3.0,14.0
221.0,0.49399983866841907,1.0,1.613315809179809e-07,3.0,14.0
222.0,0.4939998723020082,1.0,1.2769799179933062e-07,3.0,14.0
223.0,0.4939998723020082,1.0,1.2769799179933062e-07,3.0,14.0
224.0,0.4939998723020082,1.0,1.2769799179933062e-07,3.0,14.0
225.0,0.493999872856332,1.0,1.271436679652516e-07,3.0,14.0
226.0,0.49399990788856457,1.0,9.211143544168275e-08,3.0,14.0
227.0,0.493999907889075,1.0,9.211092499108505e-08,3.0,14.0
228.0,0.493999907889075,1.0,9.211092499108505e-08,3.0,14.0
229.0,0.4939999149232356,1.0,8.50767644126238e-08,3.0,14.0
230.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
231.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
232.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
233.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
234.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
235.0,0.49399996373993293,1.0,3.6260067080583234e-08,3.0,14.0
236.0,0.49399998432082937,1.0,1.5679170639473134e-08,3.0,14.0
237.0,0.49399998432082937,1.0,1.5679170639473134e-08,3.0,14.0
238.0,0.49399998432082937,1.0,1.5679170639473134e-08,3.0,14.0
239.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
240.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
241.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
242.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
243.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
244.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
245.0,0.49399999573462083,1.0,4.265379149785385e-09,3.0,14.0
246.0,0.4939999959131255,1.0,4.08687450664461e-09,3.0,14.0
247.0,0.49399999788575005,1.0,2.1142499299104036e-09,3.0,14.0
248.0,0.49399999788575005,1.0,2.1142499299104036e-09,3.0,14.0
249.0,0.49399999812829265,1.0,1.871707330353341e-09,3.0,14.0
250.0,0.49399999812829265,1.0,1.871707330353341e-09,3.0,14.0
251.0,0.49399999870572475,1.0,1.294275253257391e-09,3.0,14.0
252.0,0.49399999870572475,1.0,1.294275253257391e-09,3.0,14.0
253.0,0.49399999870572475,1.0,1.294275253257391e-09,3.0,14.0
254.0,0.4939999992838435,1.0,7.161564591708987e-10,3.0,14.0
255.0,0.4939999992838435,1.0,7.161564591708987e-10,3.0,14.0
