id,number,suffix,provenance,file_count,artifact_types
V401,401,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V402,402,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V402B,402,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V403,403,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V404,404,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V405,405,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V405B,405,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V406,406,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V406B,406,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V407,407,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V407B,407,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V408,408,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V409,409,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V410,410,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V411,411,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V412,412,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V413,413,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V414,414,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V415,415,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V415B,415,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V416,416,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V416B,416,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V416C,416,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V417,417,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V418,418,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V418B,418,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V419,419,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V420,420,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V421,421,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V421B,421,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V421C,421,C,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V422,422,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V423,423,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V424,424,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V424B,424,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V424C,424,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V425,425,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V425B,425,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V425C,425,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V426,426,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V426B,426,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V427,427,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V427B,427,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V428,428,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V429,429,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V429C,429,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V430,430,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V431,431,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V431B,431,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V431C,431,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V431D,431,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V432,432,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V432B,432,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V432C,432,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V432D,432,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
